tingkat_sekolah,jenis_sekolah, jumlah_sekolah , jumlah_guru , jumlah_murid , jumlah_kelas 
TK,Negeri,9,58,521,35
TK,Swasta,1781,8646,92775,5179
TK,Negeri,9,58,673,35
TK,Swasta,1432,10064,81050,4524
TK,,9,103,836,35
TK,Swasta,1421,10346,82874,4604
TK,Negeri,9,70,,35
TK,Swasta,1990,10471,86265,5751
TK,Negeri,22,122,1184,79
TK,Swasta,2056,10391,88214,5949
SD,Negeri,2223,27145,653097,18142
SD,Swasta,,10340,175184,7177
SD,Negeri,2222,29229,649508,18142
SD,Swasta,804,13824,195309,8001
SD,Negeri,2208,28269,640398,18142
SD,Swasta,839,13894,208064,8524
SD,Negeri,2111,27104,619839,17218
SD,Swasta,839,13820,201529,8524
SD,Negeri,1667,25663,593605,16489
SD,Swasta,911,14267,216676,8877
SMP,Negeri,288,13012,221756,4673
SMP,Swasta,650,11235,117699,4997
SMP,Negeri,289,11685,197700,4673
SMP,Swasta,716,12133,143294,6083
SMP,Negeri,289,11363,206032,4673
SMP,Swasta,698,11369,141666,6015
SMP,Negeri,289,11043,214795,4673
SMP,Swasta,751,12058,154049,6419
SMP,Negeri,289,10507,213814,4673
SMP,Swasta,800,12043,138681,6500
SMA,Negeri,117,6989,92734,2576
SMA,Swasta,382,9473,90532,2934
SMA,Negeri,117,6195,87550,2398
SMA,Swasta,350,7662,65486,2122
SMA,Negeri,117,6044,81491,2398
SMA,Swasta,358,7470,61475,2225
SMA,Negeri,117,5760,82948,2398
SMA,Swasta,357,7387,53631,1915
SMA,Negeri,117,5343,83207,2398
SMA,Swasta,375,7396,62610,2029
SMK,Negeri,63,3254,42348,1176
SMK,Swasta,517,12789,161217,4478
SMK,Negeri,63,3024,41337,1176
SMK,Swasta,522,12556,156237,4481
SMK,Negeri,63,3032,38535,1176
SMK,Swasta,530,12360,148276,4464
SMK,Negeri,63,3080,40597,1176
SMK,Swasta,536,12334,109932,4500
SMK,Negeri,63,3039,41610,1176
SMK,Swasta,546,12011,134016,4560
